Border,Date,Measure,Value,Average
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1810,2436
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,1017,1034
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,970,718
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,12004167,14098124
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicles,6556519,6543171
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,4042146,5559181
US-Mexico Border,10/01/2018 12:00:00 AM,Pedestrians,3896888,3690582
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,2240151,2653891
US-Mexico Border,10/01/2018 12:00:00 AM,Trucks,568252,396197
US-Canada Border,10/01/2018 12:00:00 AM,Trucks,525723,510606
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Full,415527,250431
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,398260,382258
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,167849,108070
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Empty,159369,140967
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,158726,269869
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,139534,87132
US-Mexico Border,10/01/2018 12:00:00 AM,Bus Passengers,138689,245579
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,63252,43927
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Empty,55089,31077
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,51040,46915
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Full,45601,27783
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,16581,21264
US-Mexico Border,10/01/2018 12:00:00 AM,Buses,14214,19649
US-Canada Border,10/01/2018 12:00:00 AM,Buses,6304,11115
US-Canada Border,10/01/2018 12:00:00 AM,Trains,2043,2438
US-Mexico Border,10/01/2018 12:00:00 AM,Trains,978,717
US-Mexico Border,10/01/2018 12:00:00 AM,Train Passengers,943,1034
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,11822961,14106489
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,6319271,6543994
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4376264,5563530
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,3524531,3691192
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2339723,2655046
US-Mexico Border,09/01/2018 12:00:00 AM,Trucks,494057,395837
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,477468,510727
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,361864,250022
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360014,382340
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,179921,270200
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,160813,245891
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,154683,107899
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,141079,140967
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,125650,86990
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,63582,43855
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,53921,46889
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,50037,31008
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,43621,27725
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29265,21235
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,13468,19672
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7791,11127
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1949,2440
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,933,716
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,874,1035
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,12338175,14113014
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicles,6554844,6543954
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,6367333,5560564
US-Mexico Border,08/01/2018 12:00:00 AM,Pedestrians,3851303,3690602
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2999558,2653775
US-Mexico Border,08/01/2018 12:00:00 AM,Trucks,552741,395258
US-Canada Border,08/01/2018 12:00:00 AM,Trucks,508622,510735
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Full,401582,249462
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,377537,382357
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,239710,270312
US-Mexico Border,08/01/2018 12:00:00 AM,Bus Passengers,218595,245992
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Empty,159349,140899
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,148925,107747
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,141086,86791
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,83489,46754
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,60159,43795
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,55506,21108
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Empty,42889,30964
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Full,40034,27680
US-Mexico Border,08/01/2018 12:00:00 AM,Buses,14961,19689
US-Canada Border,08/01/2018 12:00:00 AM,Buses,9159,11134
US-Canada Border,08/01/2018 12:00:00 AM,Trains,2083,2441
US-Mexico Border,08/01/2018 12:00:00 AM,Trains,928,715
US-Mexico Border,08/01/2018 12:00:00 AM,Train Passengers,909,1035
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,12700131,14118247
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicles,6476572,6544203
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,6118700,5558496
US-Mexico Border,07/01/2018 12:00:00 AM,Pedestrians,3916503,3689765
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicles,2902555,2652853
US-Mexico Border,07/01/2018 12:00:00 AM,Trucks,514241,394817
US-Canada Border,07/01/2018 12:00:00 AM,Trucks,482513,510840
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Full,370512,249014
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Full,362730,382430
US-Mexico Border,07/01/2018 12:00:00 AM,Bus Passengers,256556,245953
US-Canada Border,07/01/2018 12:00:00 AM,Bus Passengers,223674,270485
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Empty,151194,140861
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Full,144717,107611
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Empty,129619,86632
US-Canada Border,07/01/2018 12:00:00 AM,Pedestrians,80262,46630
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Empty,60140,43734
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Empty,48206,30900
US-Canada Border,07/01/2018 12:00:00 AM,Train Passengers,48056,21009
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Full,40489,27632
US-Mexico Border,07/01/2018 12:00:00 AM,Buses,15680,19704
US-Canada Border,07/01/2018 12:00:00 AM,Buses,9298,11141
US-Canada Border,07/01/2018 12:00:00 AM,Trains,1972,2443
US-Mexico Border,07/01/2018 12:00:00 AM,Trains,950,714
US-Mexico Border,07/01/2018 12:00:00 AM,Train Passengers,875,1036
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,11901838,14126486
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,6365057,6544869
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4905379,5560924
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,3558082,3690254
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2560248,2653198
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,529177,394318
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,498395,510886
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,387382,248500
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364125,382498
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,211673,270704
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,147832,107461
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,143796,86420
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,139354,140866
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,98510,246501
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64970,43655
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,62037,46572
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,50368,30828
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,44312,27570
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,43531,20925
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,14249,19725
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9209,11148
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1942,2445
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,964,713
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,897,1037
